ID,name,league,leagueID
1943,AFC Bournemouth,English Premier League (1),13
116418,AFC Richmond,English Premier League (1),13
1,Arsenal,English Premier League (1),13
2,Aston Villa,English Premier League (1),13
1925,Brentford,English Premier League (1),13
1808,Brighton & Hove Albion,English Premier League (1),13
5,Chelsea,English Premier League (1),13
1799,Crystal Palace,English Premier League (1),13
7,Everton,English Premier League (1),13
144,Fulham,English Premier League (1),13
8,Leeds United,English Premier League (1),13
95,Leicester City,English Premier League (1),13
9,Liverpool,English Premier League (1),13
10,Manchester City,English Premier League (1),13
11,Manchester United,English Premier League (1),13
13,Newcastle United,English Premier League (1),13
14,Nottingham Forest,English Premier League (1),13
17,Southampton,English Premier League (1),13
18,Tottenham Hotspur,English Premier League (1),13
19,West Ham United,English Premier League (1),13
110,Wolverhampton Wanderers,English Premier League (1),13
